filename;meas;TP;FP;TN;FN;Ac;Se;Sp;PPV;NPV
MB1217211027180439;2;22;4;1;1;82.14;95.65;20.0;84.62;50.0
MB1217211027180439;3;23;1;3;1;92.86;95.83;75.0;95.83;75.0
MB1217211027180439;4;28;6;1;1;80.56;96.55;14.29;82.35;50.0
MB1217211027180439;5;27;4;1;0;87.5;100.0;20.0;87.1;100.0
MB1217211027180439;6;24;3;1;0;89.29;100.0;25.0;88.89;100.0
MB1217211027180439;7;23;8;1;0;75.0;100.0;11.11;74.19;100.0
MB1217211027180439;8;26;3;0;1;86.67;96.3;0.0;89.66;0.0
Total MB1217211027180439;0;198;34;14;6;84.13;97.06;29.17;85.34;70.0
MB1217211027185346;1;16;3;0;1;80.0;94.12;0.0;84.21;0.0
MB1217211027185346;2;17;1;2;0;95.0;100.0;66.67;94.44;100.0
MB1217211027185346;3;16;1;2;0;94.74;100.0;66.67;94.12;100.0
MB1217211027185346;4;18;1;0;0;94.74;100.0;0.0;94.74;0.0
MB1217211027185346;5;17;0;1;0;100.0;100.0;100.0;100.0;100.0
MB1217211027185346;6;15;1;0;1;88.24;93.75;0.0;93.75;0.0
Total MB1217211027185346;0;99;7;5;2;92.04;98.02;41.67;93.4;71.43
MB1217211028163202;1;24;1;2;0;96.3;100.0;66.67;96.0;100.0
MB1217211028163202;2;24;1;0;0;96.0;100.0;0.0;96.0;0.0
MB1217211028163202;3;25;1;0;0;96.15;100.0;0.0;96.15;0.0
MB1217211028163202;4;24;1;0;0;96.0;100.0;0.0;96.0;0.0
MB1217211028163202;5;26;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211028163202;6;21;0;0;0;100.0;100.0;0.0;100.0;0.0
Total MB1217211028163202;0;144;4;2;0;97.33;100.0;33.33;97.3;100.0
MB1217211028170837;1;21;2;0;0;91.3;100.0;0.0;91.3;0.0
MB1217211028170837;2;21;1;0;1;91.3;95.45;0.0;95.45;0.0
MB1217211028170837;3;18;1;0;0;94.74;100.0;0.0;94.74;0.0
MB1217211028170837;4;18;1;0;0;94.74;100.0;0.0;94.74;0.0
MB1217211028170837;5;20;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211028170837;6;17;1;0;0;94.44;100.0;0.0;94.44;0.0
Total MB1217211028170837;0;115;6;0;1;94.26;99.14;0.0;95.04;0.0
MB1217211028175316;1;21;5;1;0;81.48;100.0;16.67;80.77;100.0
MB1217211028175316;2;19;4;0;0;82.61;100.0;0.0;82.61;0.0
MB1217211028175316;3;23;2;0;0;92.0;100.0;0.0;92.0;0.0
MB1217211028175316;4;18;1;0;0;94.74;100.0;0.0;94.74;0.0
MB1217211028175316;5;16;1;1;1;89.47;94.12;50.0;94.12;50.0
MB1217211028175316;6;19;1;1;0;95.24;100.0;50.0;95.0;100.0
Total MB1217211028175316;0;116;14;3;1;88.81;99.15;17.65;89.23;75.0
MB1217211028183416;1;19;0;0;1;95.0;95.0;0.0;100.0;0.0
MB1217211028183416;2;18;2;1;0;90.48;100.0;33.33;90.0;100.0
MB1217211028183416;3;19;2;0;0;90.48;100.0;0.0;90.48;0.0
MB1217211028183416;4;15;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211028183416;5;16;0;1;0;100.0;100.0;100.0;100.0;100.0
MB1217211028183416;6;18;1;0;0;94.74;100.0;0.0;94.74;0.0
MB1217211028183416;7;17;1;0;0;94.44;100.0;0.0;94.44;0.0
MB1217211028183416;8;17;0;1;0;100.0;100.0;100.0;100.0;100.0
MB1217211028183416;9;16;1;0;0;94.12;100.0;0.0;94.12;0.0
Total MB1217211028183416;0;155;7;3;1;95.18;99.36;30.0;95.68;75.0
Total;0;3436;256;122;58;91.89;98.34;32.28;93.07;67.78
